no;text;category;;;
24;Selamat malam, bagaimana cara menghapus riwayat kunjungan saya yang sensitif dari aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
25;Halo admin, apakah aplikasi ini menyediakan opsi privasi untuk menyembunyikan riwayat kunjungan saya dari orang lain?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
26;Selamat sore, apa yang harus saya lakukan jika saya tidak dapat melakukan check-in di lokasi tertentu melalui aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
27;Selamat pagi, bagaimana cara melihat catatan check-in saya yang sudah lewat di aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
28;Halo admin, apakah ada batasan jumlah check-in yang bisa saya lakukan dalam sehari atau dalam rentang waktu tertentu?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
29;Selamat siang, apakah aplikasi ini menyimpan riwayat kunjungan saya secara permanen atau hanya sementara?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
30;Selamat malam, apa yang harus saya lakukan jika saya kehilangan riwayat kunjungan saya di aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
31;Selamat pagi, bagaimana saya bisa yakin bahwa apotek online yang terhubung dengan aplikasi ini adalah tepercaya dan memiliki izin yang sah?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
32;Halo admin, apa langkah-langkah yang harus saya ambil jika saya menerima obat yang salah atau cacat setelah membelinya melalui aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
33;Selamat siang, bagaimana cara mengembalikan atau menukar obat yang sudah saya beli jika ada masalah dengan pesanan saya?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
34;Selamat malam, apakah ada layanan dukungan pelanggan yang tersedia jika saya mengalami masalah saat melakukan pembelian obat di apotek online melalui aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
35;Halo admin, bagaimana cara memeriksa ketersediaan obat tertentu di apotek online sebelum saya melakukan pembelian?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
36;Selamat sore, apa yang harus saya lakukan jika saya tidak dapat menemukan apotek online yang terhubung dengan aplikasi ini di daerah saya?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
37;Selamat pagi, bagaimana cara memastikan keamanan pembayaran saya saat melakukan pembelian obat di apotek online melalui aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
38;Halo admin, apakah ada fitur untuk mengingatkan saya jika obat yang saya butuhkan tersedia atau ada penawaran khusus di apotek online?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
39;Selamat siang, apa langkah-langkah keamanan yang diimplementasikan oleh aplikasi ini untuk melindungi informasi lokasi saya saat melakukan check-in?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
40;Selamat malam, bagaimana cara mengaktifkan atau menonaktifkan fitur check-in lokasi secara manual di dalam aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
